GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,race_group
220450304004,130,2736,1136,1256,27807.0,818,153.0,215.79999721050262,32.62988642851139,5.40108707095,1.0,4.4381413,0.9629457709500002,95.66666666666667,1.3588850174216027,0.4152046783625731,1
220450312002,94,2367,1092,846,34778.0,892,131.0,210.59999799728394,32.405804840675096,5.40108707095,1.0,4.6010427,0.8000443709500002,70.33333333333333,1.3364928909952607,0.46134347275031684,1
220510278121,37,2029,139,1826,60511.0,791,136.0,108.49999952316284,35.44046669057508,2.91350605135,1.0,-0.27947783,3.19298388135,41.0,0.9024390243902439,0.06850665352390341,1
220190006002,8,1041,81,886,23882.0,363,82.0,458.78067994732567,42.292924291973456,0.0,0.0,0.0,0.0,4.0,2.0,0.07780979827089338,1
220170233002,25,978,0,956,14081.0,348,68.0,110.71330077641903,19.497504522615685,0.0,0.0,0.0,0.0,27.333333333333332,0.9146341463414634,0.0,1
220170242021,62,883,516,330,56513.0,387,152.0,97.49999958276749,19.06390884292708,0.0,0.0,0.0,0.0,72.33333333333333,0.8571428571428572,0.5843714609286523,1
220170244002,63,2177,752,1046,53500.0,926,109.0,82.09999942779541,18.995095851224857,0.0,0.0,0.0,0.0,54.0,1.1666666666666667,0.3454294901240239,1
220170211002,8,1021,255,640,19321.0,369,92.0,122.92321902280786,19.49983057077064,0.0,0.0,0.0,0.0,7.0,1.1428571428571428,0.24975514201762977,1
220510205162,25,1383,731,499,49773.0,484,80.0,142.84935111776704,33.00268777026674,0.0,0.0,0.0,0.0,16.0,1.5625,0.5285610990600145,1
220190014004,58,1771,405,1366,25239.0,541,132.0,538.4000088721514,43.01506398762484,0.0,0.0,0.0,0.0,66.0,0.8787878787878788,0.22868435911914173,1
220170243014,47,2046,301,1683,29107.0,917,100.0,76.8967928255214,18.82024670626791,0.0,0.0,0.0,0.0,39.0,1.205128205128205,0.14711632453567938,1
220170243031,41,1818,186,1616,24563.0,1042,142.0,90.20088272962641,19.030802444938647,0.0,0.0,0.0,0.0,47.0,0.8723404255319149,0.10231023102310231,1
220790132004,73,2790,1611,1111,67768.0,979,181.0,391.5423939991242,32.81651282624002,0.0,0.0,0.0,0.0,76.0,0.9605263157894737,0.5774193548387097,1
220170241072,38,2300,655,1645,40000.0,742,102.0,123.33466437543854,19.429515437882117,0.0,0.0,0.0,0.0,41.0,0.926829268292683,0.2847826086956522,1
220330040092,98,5550,3000,1333,88218.0,1961,281.0,188.00000220537186,29.097569279812305,0.0,0.0,0.0,0.0,81.66666666666667,1.2,0.5405405405405406,1
220510278075,32,1269,699,272,108882.0,435,95.0,123.93407273161786,35.10778886398263,2.91350605135,1.0,0.2698916,2.6436144513500004,41.666666666666664,0.768,0.5508274231678487,1
220550006042,32,1537,882,333,41250.0,833,79.0,283.8999918103218,34.53333806623094,0.0,0.0,0.0,0.0,27.333333333333332,1.1707317073170733,0.5738451528952505,1
220550007001,62,2763,290,2471,28977.0,919,114.0,290.59249567916396,34.47293875768297,0.0,0.0,0.0,0.0,50.333333333333336,1.2317880794701985,0.10495837857401376,1
220170222002,30,991,114,877,24471.0,435,102.0,89.25381019620619,19.145535656470397,0.0,0.0,0.0,0.0,36.666666666666664,0.8181818181818182,0.11503531786074672,1
220170222004,30,1603,87,1446,35469.0,600,86.0,85.39999878406525,19.084563144334737,0.0,0.0,0.0,0.0,25.333333333333332,1.1842105263157896,0.054273237679351216,1
220170224001,37,931,66,836,31765.0,238,82.0,104.76706360137592,19.349836466196702,0.0,0.0,0.0,0.0,33.333333333333336,1.1099999999999999,0.07089151450053706,1
220330039083,41,1373,771,314,87063.0,577,96.0,220.44343661760374,29.06553289295548,0.0,0.0,0.0,0.0,35.666666666666664,1.1495327102803738,0.5615440640932265,1
220330037034,20,1002,439,363,79722.0,278,68.0,254.5611693798988,29.176167464605825,0.0,0.0,0.0,0.0,11.0,1.8181818181818181,0.43812375249500995,1
220330038013,34,2402,1328,1056,109773.0,842,129.0,207.5999994277954,29.37757608163322,0.0,0.0,0.0,0.0,38.0,0.8947368421052632,0.5528726061615321,1
220330045051,54,1974,1062,626,107688.0,656,219.0,209.99081474806627,28.905481184511498,0.0,0.0,0.0,0.0,55.333333333333336,0.9759036144578312,0.5379939209726444,1
220330032022,17,1877,323,1529,91516.0,561,82.0,272.1239031068359,29.396390329529225,0.0,0.0,0.0,0.0,15.0,1.1333333333333333,0.17208311134789558,1
220330047002,23,1122,509,542,40278.0,468,84.0,311.99999421834946,28.99210452153352,0.0,0.0,0.0,0.0,17.666666666666668,1.3018867924528301,0.4536541889483066,1
